name,weight
Cavalier King Charles Spaniel,14
Cavalier King Charles Spaniel,14
Cavalier King Charles Spaniel,14
Cavapoo,13
Cavapoo,13
Cavapoo,13
Brittany,35
Cavalier Spaniel,16.5
Central Asian Ovtcharka,132
Central Asian Ovtcharka,148.5
Central Asian Ovtcharka,115.5
Cesky Terrier,16.75
Cesky Terrier,18
Cesky Terrier,15.5
Chesa Bay Retriever,67.5
Chesa Bay Retriever,72.5
Chesa Bay Retriever,62.5
Chihuahua Shorthair,6
Chihuahua Longhair,6
Chihauha,6
Chinese Chongqing Dog,43.75
Chinese Chongqing Dog,49
Chinese Chongqing Dog,38.5
Chinese Crested,8.5
Chinese Crested,8.5
Chinese Crested,8.5
Chinese Foo Dog,30.5
Chinese Foo Dog,30.5
Chinese Foo Dog,30.5
Chinese Shar-Pei,52.5
Chinese Shar-Pei,52.5
Chinese Shar-Pei,52.5
Chinook,62.5
Chinook,70
Chinook,55
ChiPoo,7.5
ChiPoo,7.5
ChiPoo,7.5
Chow Chow,57.5
Chow Chow,57.5
Chow Chow,57.5
Cirneco Dell Etna,25
Cirneco Dell Etna,28
Cirneco Dell Etna,22
Clumber Spaniel,70
Clumber Spaniel,77.5
Clumber Spaniel,62.5
Cockapoo,12.5
Cockapoo,12.5
Cockapoo,12.5
Cocker Spaniel,20
Cocker Spaniel,26
Cocker Spaniel,14
Collie Rough,51
Collie Rough,51
Collie Rough,51
Corgi,26.75
Corgi,27.5
Corgi,26
Coton De Tulear,13.5
Coton De Tulear,13.5
Coton De Tulear,13.5
Curly Coated Retriever,85
Curly Coated Retriever,90
Curly Coated Retriever,80
Czechloslovakian Wolf Dog,49
Czechloslovakian Wolf Dog,54
Czechloslovakian Wolf Dog,44
Dachshund Longhair,15
Dachshund Wirehaired,15
Dachshund,15
Dalmation,50
Dalmation,50
Dalmation,50
Dandi Dinmont Terrier,21
Dandi Dinmont Terrier,21
Dandi Dinmont Terrier,21
Doberman Pinscher,77.5
Doberman Pinscher,77.5
Doberman Pinscher,77.5
Dogo Argentino,90
Dogo Argentino,95
Dogo Argentino,85
Dogue De Bordeaux,132.5
Dogue De Bordeaux,132.5
Dogue De Bordeaux,132.5
Doodleman Pinscher,77
Doodleman Pinscher,77
Doodleman Pinscher,77
Dutch Shepherd,61
Dutch Shepherd,61
Dutch Shepherd,61
English Boodle,35
English Boodle,35
English Boodle,35
English Bulldog,52.5
English Bulldog,52.5
English Bulldog,52.5
English Cocker Spaniel,30
English Cocker Spaniel,31
English Cocker Spaniel,29
English Coonhound,52.5
English Coonhound,52.5
English Coonhound,52.5
English Pointer,59.75
English Pointer,65
English Pointer,54.5
English Setter,57.5
English Setter,62.5
English Setter,52.5
English Shepherd,51.25
English Shepherd,57.5
English Shepherd,45
English Springer Spaniel,45
English Springer Spaniel,50
English Springer Spaniel,40
English Toy Spaniel,11
English Toy Spaniel,11
English Toy Spaniel,11
Entlebucher,57.5
Entlebucher,57.5
Entlebucher,57.5
Eskapoo,14
Eskapoo,14
Eskapoo,14
Eskimo Dog,20.5
Eskimo Dog,20.5
Eskimo Dog,20.5
Estrela Mountain Dog,83.75
Estrela Mountain Dog,92.5
Estrela Mountain Dog,75
Field Spaniel,42.5
Field Spaniel,42.5
Field Spaniel,42.5
Fila Brasileiro,151.25
Fila Brasileiro,160
Fila Brasileiro,142.5
Finnish Lapphund,45.5
Finnish Lapphund,45.5
Finnish Lapphund,45.5
Finnish Spitz,25
Finnish Spitz,25
Finnish Spitz,25
Flat Coat Retriever,65
Flat Coat Retriever,65
Flat Coat Retriever,65
Chinese Sharpei,55
Smooth Fox Terrier,17
Smooth Fox Terrier,18
Smooth Fox Terrier,16
Toy Fox Terrier,5
Wire Hair Fox Terrier,17
Wire Hair Fox Terrier,18
Wire Hair Fox Terrier,16
French Bulldog,28
French Bulldog,28
French Bulldog,28
German Hovawart,72.5
German Hovawart,72.5
German Hovawart,72.5
